year,status,percentage
2001,Daily,8.5
2001,Weekly,39.3
2001,Monthly,21.1
2001,Less often than monthly,14.6
2001,Ex-drinker,7.1
2001,Never a full glass of alcohol,9.3
2004,Daily,9.1
2004,Weekly,41.7
2004,Monthly,20.1
2004,Less often than monthly,13.5
2004,Ex-drinker,6.3
2004,Never a full glass of alcohol,9.4
2007,Daily,8.3
2007,Weekly,41.5
2007,Monthly,19.4
2007,Less often than monthly,13.8
2007,Ex-drinker,6.9
2007,Never a full glass of alcohol,10.1
2010,Daily,7.4
2010,Weekly,39.7
2010,Monthly,20
2010,Less often than monthly,13.3
2010,Ex-drinker,7.6
2010,Never a full glass of alcohol,12.1
2013,Daily,6.7
2013,Weekly,37.8
2013,Monthly,20.4
2013,Less often than monthly,14.1
2013,Ex-drinker,6.9
2013,Never a full glass of alcohol,14
2016,Daily,6
2016,Weekly,36.1
2016,Monthly,20.6
2016,Less often than monthly,15
2016,Ex-drinker,7.6
2016,Never a full glass of alcohol,14.7
2019,Daily,5.4
2019,Weekly,34.9
2019,Monthly,21.1
2019,Less often than monthly,15.2
2019,Ex-drinker,8.9
2019,Never a full glass of alcohol,14.4
2022,Daily,5.2
2022,Weekly,35.9
2022,Monthly,18.9
2022,Less often than monthly,16.9
2022,Ex-drinker,8.2
2022,Never a full glass of alcohol,14.9
