year,age_group,hospitalisation_rate_per_100000
2015,15-24,138.0
2016,15-24,140.9
2017,15-24,141.6
2018,15-24,142.7
2019,15-24,138.3
2020,15-24,159.9
2021,15-24,136.3
2022,15-24,120.2
2015,25-34,238.8
2016,25-34,254.5
2017,25-34,258.0
2018,25-34,259.7
2019,25-34,251.7
2020,25-34,304.9
2021,25-34,270.7
2022,25-34,244.9
2015,35-44,478.6
2016,35-44,498.0
2017,35-44,480.8
2018,35-44,511.9
2019,35-44,487.8
2020,35-44,562.5
2021,35-44,529.6
2022,35-44,512.6
2015,45-54,598.9
2016,45-54,583.8
2017,45-54,609.9
2018,45-54,633.1
2019,45-54,640.7
2020,45-54,740.5
2021,45-54,682.8
2022,45-54,690.0
2015,55+,330.7
2016,55+,328.2
2017,55+,340.9
2018,55+,345.9
2019,55+,324.2
2020,55+,361.2
2021,55+,335.4
2022,55+,339.7
